20:14:41 | INFO | train | Args: Namespace(models='2toINF/X-VLA-Pt', output_dir='/home/yifeng/aic_xvla_data/xvla_full_ft', train_metas_path='/home/yifeng/aic_xvla_data/train_meta.json', batch_size=2, learning_rate=0.0001, learning_coef=1.0, weight_decay=0.0, betas=(0.9, 0.95), max_grad_norm=1.0, iters=100000, freeze_steps=1000, warmup_steps=2000, use_cosine_decay=True, min_lr_ratio=0.05, save_interval=10000, log_interval=20, seed=0, freeze_vlm=True)
20:14:43 | INFO | train | 🚀 Start training for 100000 iterations | world_size=1
20:14:45 | INFO | train | [0/100000] loss=64.2103 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.13s/it) USED_CPU=2.40e+00 GB USED_GPU=5.60e+00 GB 
20:14:47 | INFO | train | [20/100000] loss=4.4715 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:14:49 | INFO | train | [40/100000] loss=2.5773 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:14:51 | INFO | train | [60/100000] loss=1.0232 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:14:52 | INFO | train | [80/100000] loss=0.6448 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:14:54 | INFO | train | [100/100000] loss=0.8182 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:14:56 | INFO | train | [120/100000] loss=1.1803 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:14:58 | INFO | train | [140/100000] loss=0.8204 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:14:59 | INFO | train | [160/100000] loss=0.3957 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:01 | INFO | train | [180/100000] loss=0.4729 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:03 | INFO | train | [200/100000] loss=0.8689 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:05 | INFO | train | [220/100000] loss=0.9634 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:06 | INFO | train | [240/100000] loss=0.4131 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:08 | INFO | train | [260/100000] loss=0.3465 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:10 | INFO | train | [280/100000] loss=0.5677 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:12 | INFO | train | [300/100000] loss=0.3453 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:13 | INFO | train | [320/100000] loss=0.1914 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:15 | INFO | train | [340/100000] loss=0.4070 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:17 | INFO | train | [360/100000] loss=0.1503 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:15:19 | INFO | train | [380/100000] loss=0.1494 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
