18:56:52 | INFO | peft_train | Args: Namespace(models='2toINF/X-VLA-Pt', output_dir='/home/yifeng/aic_xvla_data/v7-lora-full-delta-short8', train_metas_path='/home/yifeng/aic_xvla_data/train_meta.json', val_metas_path='/home/yifeng/aic_xvla_data/val_meta.json', eval_interval=1000, batch_size=2, learning_rate=0.0005, learning_coef=1.0, weight_decay=0.0, betas=(0.9, 0.95), max_grad_norm=1.0, iters=40000, freeze_steps=0, warmup_steps=50, use_cosine_decay=True, min_lr_ratio=0.05, save_interval=2000, log_interval=20, seed=0, freeze_vlm=False, vlm_lr=None, head_lr=None, num_actions=8, lora_r=None, lora_alpha=None)
18:56:54 | INFO | peft_train | ✅ Val dataloader ready (/home/yifeng/aic_xvla_data/val_meta.json)
18:56:54 | INFO | peft_train | 🚀 Start training for 40000 iterations | world_size=1
18:56:57 | INFO | peft_train | [0/40000] loss=25.1382 lr_core=0.00e+00 lr_vlm=0.00e+00 (0.18s/it)
18:57:00 | INFO | peft_train | [20/40000] loss=3.4088 lr_core=2.00e-04 lr_vlm=2.00e-04 (0.12s/it)
18:57:02 | INFO | peft_train | [40/40000] loss=0.6552 lr_core=4.00e-04 lr_vlm=4.00e-04 (0.12s/it)
18:57:05 | INFO | peft_train | [60/40000] loss=0.2661 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
18:57:07 | INFO | peft_train | [80/40000] loss=0.2892 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.13s/it)
18:57:10 | INFO | peft_train | [100/40000] loss=0.1862 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
18:57:12 | INFO | peft_train | [120/40000] loss=0.1924 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
18:57:14 | INFO | peft_train | [140/40000] loss=0.1595 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
18:57:17 | INFO | peft_train | [160/40000] loss=0.1689 lr_core=5.00e-04 lr_vlm=5.00e-04 (0.12s/it)
